case,t,att_err_angle_E,att_err_angle_Q,tau_norm_E,tau_norm_Q,omega_norm_E,omega_norm_Q,eR_norm_E,eR_norm_Q,condE
Nominal_30deg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.013000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.018000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nominal_30deg,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
